Hora,Post,Local
January 20,"I am now a regular.  And by regular, I mean I'm there at least once a week, often more, and it's consistently a highlight. The staff are wonderful. The food is wonderful.  The drinks are wonderful.  The live music is wonderful. I've held several events there with numbers up to about 20.  I've brought colleagues, clients, my wife and family and it's always been wonderful no matter the context.  Whether casual, romantic, or professional it's always wonderful. There are no bad choices when it comes to this place except the choice not to go.",
February 24,The food is great and so are the brews on tap (we love that Upstreet was served this weekend - really good idea). Atmosphere is lovely: A variety of seating - we’ve sat in a different spot each time. Today we tried the brunch for the first time - also amazing AND amazing service.  Thank you so much for a great start to our day.  :) We’ll be back again soon.,
January 23,So we came about 5:30 for wings on Mon Jan 22. Celebrating a job change. Brought the kids. Wish I could remember our server’s name becaus he was awesome.  Caught on to fam banter that dad got  a lime in his propeller ginger beer and he wanted one. Never said a thing to server. Yet he brought a glass with limes quickly and said “ limes for all!”  And was awesome all evening.,
March 1,"Loved the atmosphere at the Auction House! Our family of five all thoroughly enjoyed our meals, beautifully prepared and delicious! This will be our go to restaurant whenever we are attending anything at the Scotia Back Center, it's literally just around the corner. The staff were the crown & glory of this little gem.",
"December 23, 2017","Great spot for quality pub food with an awesome beer selection. Shared some tasty appetizers and I had a great burger. The servers are all super friendly and attentive, our guy (I think his name was Sam) made some good recommendations and was quick to get us whatever we needed.",
"November 18, 2017","Thank you so much for our gift certificate!  We had such a wonderful time last night, the food was just amazing.  Great atmosphere and the service was incredible.  We will be coming back lots to work our way through your menu!  To top it off it was our 8th year of being in Canada yesterday so it was a great way to celebrate.  Thank again!!!",
"September 30, 2017","We have been to the auction house twice and have had an awesome experience both times. The first time it was extremely busy but we still felt as though we were waited on hand and foot. The second time, they were super accommodating when trying to find us a spot that was a little quieter so that I could enjoy my dining experience more (I have hearing loss that can make it difficult for me to have conversation with my partner in a noisy restaurant). To top it off, the food is incredible and we are always pleasantly surprised at the low price on our bill, even with having some drinks!",
"October 29, 2017","Our group started as 5 and expanded to 8 family and friends. Our reservation request was met with a great table space in the front window.  The service was prompt and attentive. The food was great. I had the ""BFFFT"" and I was not disappointed! I would recommend this spot for brunch, but make a reservation because by the time we left the place was full and there was a line up.  This was my first time but definitely won't be the last.",
"November 19, 2017",Great service. The staff are excellent. Fantastic food and excellent selection of craft beer and good wine list. Great for a romantic date night to a get together with friends. Good live music.,
"October 30, 2017",Been twice since moving back home and the food and staff are top notch - and the hi-light is the live music - Skin and Jones will keep us coming back regularly!,
