Hora,Post,Local
"May 28, 2016","The people, atmosphere and food are all 5 stars. And a great date place.",
January 30,"After hearing nothing but great reviews of this restaurant, we finally tried it out tonight for my birthday and it was everything I hoped it would be. The moment we arrived, the staff were friendly, professional, relaxed. We chose to sit upstairs in the dining room where the full dinner menu was available because I was in the mood for a decent steak. As the hostess led us to our table, I was impressed by the serious, luxurious decor of the room. A small, walk-in, seamless gla...ss-walled wine cooler greets you at the top of the staircase. Lacquered wood tables flanked by large, dark gray, velvet-wrapped wingbacks, drum pendants hang overhead along the front windows. The center tables; curved banquettes in navy mohair, brass accent lighting casting down a soft golden glow. Cozy, yet sensuous. Our server, Rob, arrives promptly, was personable and knowledgeable. After looking at the drink menu, I chose a Hell Bay dark cream ale, perfect for a blustery, cold, January evening. The wine list is extensive but not overwhelming. The beer selection is carefully edited, a balanced mix of craft and factory. Spirits run the gamut. We peruse the dinner menu and it wasn't hard to make up our minds. Alex goes with the prix fix three-course winter Dine Around menu of a salmon appetizer, beef cheek marbella main, and a whoppie pie for desert. Filling to the point some of it came home for lunch tomorrow, all pre-selected items were approved of. I went with the Gochjang mussels-frites, basically chili paste and coconut milk with fresh basil. Delicious!  For my main, a juicy, Pittsburgh rare 8oz tenderloin encrusted with Stilton blue cheese melted in my mouth. Roasted fingerlings, beets, Brussels sprouts, and cauliflower followed suit. Since I do not like chocolate, the dessert menu had 2 items sans-cocoa. As full as I was, one item looked too tempting to pass up. I went with the Apple Mille-Feuille. Cinnamon puff pastry with cider poached apples, and vanilla cream custard. A sizable portion but incredibly light. A perfect ending to an exceptional meal. It's no secret that Halifax has a great bar and restaurant scene, this place only solidifies that acclaim even more.",
March 16 at 12:17pm,"I am never ever disappointed at the Barrington Steakhouse and Oyster Bar (lounge) and last night was no exception!  Wonderful evening of delicious food, wine, lovely entertainment (Moe!) and, as always, delightful service.  So happy to have met Chef Alexandre and thank him for all his scrumptious creations.  The seared tuna is my favourite appie and that lamb shank...oh my Lord.  Also the pot de creme au chocolat and those lovely homemade donuts.  Yummy.  It was the first time I didn't actually have oysters and steak and I was still thoroughly impressed. This is where I bring all my special peeps. So, see you soon Barrington friends!",
February 15,Dinner was excellent and hands down the. Eat steak in the whole city. The drink selection is perfect along with the service. I have not had better in the city. This is the place if you want to have the best steak in Halifax or just a lovely evening with your loved one.,
March 5 at 9:58am,"Great sommelier. The sommelier here really knows her stuff. She hand-picked the wine for our social, and it was fantastic. Service is great and the food was incredible, and they even went out of their way to accommodate my husband's (previously unannounced) celiac needs. We were here for a social work function and were very impressed. We will be back.",
"December 8, 2017","Went last night for the first time with a colleague and the place is beautiful, very nice ambiance, the waiter was excellent along with the food, the steak was excellent as well...Little pricey for my budget but very nice treat!!",
February 17,"Traditionally my wife and I were ‘Keg’ people.  Then we went to this place!  All I can say is wow, this place is amazing.  Do yourself a favour and go, you won’t be disappointed!",
"November 18, 2017","Went in September for an anniversary supper. The service was great. I was disappointed with the food, the calamari was all different sizes which meant some we're quite overcooked and chewy. My husband had the burger which he did not enjoy, said he could have gotten a tastier burger from a local pub. I had a steak, the piece I received was more fat then meat, the double baked loaded potato was the best part of the meal, but when I got the rest of my meal to go they only packed up my steak and threw out the potato (which was extra) and my veggies. Let's just say I wasn't happy when I got home and saw this. Emailed with my experience never received a response.",
"November 5, 2017","There was a sign outside advertising $10 burgers for charity. We were walking by and were looking for a bite to eat so we went in. This was at 6:30 pm. We were seated in the bar area. It took way too long for a server to take our drink order. Then we were informed by the waiter that the $10 burger deal was only from 11-4. This was not stipulated on the sign. The server said he would see what he could do. Well, apparently he could do nothing. So, we finished our overpriced glass of wine and went to another establishment where we had more wine and burgers. Very disappointing experience. I will not be back.",
January 19,Absolutely loved this place. The ambiance was great. Enjoyed the Gahan PEI beer on tap with fantastic oysters and a beautiful Chicago rare ribeye. Spot on service as well.,
February 27 at 2:35pm,Better than Joe Beef in Montreal... My partner and I eat here almost every week now. Servers are awesome and the food is perfection!!,
March 9 at 10:54pm,The wagyu steak was the best beef I have ever had....wonderful atmosphere and beautiful surroundings.,
January 28,Fantastic service and meal. Loved the atmosphere and piano bar downstairs as well. I will be back.,
March 17 at 9:48pm,The service is great the food and amazing my favourite place to go out for steak  and oysters,
"July 22, 2017","If I could give the place 6 stars, I would.  For me, it is hands down the best restaurant in Halifax right now! We've been three times in the last month alone and  the entire experience was on point every occasion. #WhenYoureTheBestEST #BarNone",
"April 16, 2017","My photo studio is two doors down, so we've been neighbours since they opened. I would like to single you guys out for something that may go unnoticed: When you were doing the work to get the restaurant ready I noticed a door opener button and that the entrance was redone with a gentle slope to get in. I use a manual wheelchair, and I notice these things.... When I finally got here to eat tonight, I was very happy to find you have installed a modern lift between floors. Many businesses won't go as far as you have because they think ""all that money for only a few people"". The fact is, everyone can and will use a door opener and the lift. You did this right! And the service and food were really great. I had the scallops for my app and the bourbob steak for my main, done rare. Everything was perfectly cooked. I am a happy fella. Welcome to the neighbourhood. It was very nice to meet you. Paul",
February 11,Amazing meal and service. 20oz Rib eye was the best steak I have ever had. Worth every penny.,
January 1,"Went for New Year's Eve. Fantastic service, great atmosphere, live entertainment and best steak I've ever had anywhere. Can't wait to go back.",
"August 19, 2017","It was my first time there last night  , a business meeting as it were .  I've eaten steaks and oysters all over North America, I've got to say the food ,staff and the entire atmosphere in your establishment was excellent !!  I plan on many return visits!  WELL DONE !!",
"July 9, 2017","We visited The Barrington for the second time, last night. Like the first time, it was fantastic! I had the tuna and my husband had the steak bread, as appetizers. We both had steak, cooked perfectly as our mains with a side of mac n cheese (I could go there and just eat the mac n cheese, it was that good). We had a great table and Jason was a fantastic server. We were so full we couldn't eat dessert, so we took a bag of donuts to go! Overall, a great night! Thank you.",
February 15,Lovely atmosphere and great service.  Meal was amazing!  Can't wait to go back.,
"May 14, 2017","Best lobster mac and cheese I have ever had, great dill potatoes and good service. Loved the unique cocktails!  The seafood tower was ok, could have used more dressings for the seafood and the crab legs were not sliced in halves, making them hard to eat.  Overall we were impressed and will be back :)",
"March 26, 2017","Went to the Barrington Steakhouse last night for a pre Matt Good show dinner. AMAZING! The service was fantastic. Mavi was by far the best waitress I have ever had - seriously, she's hilarious and we all wanted to steal her from work to come party with us for the night. The atmosphere was wonderful, the champagne great and the food - unbelievable. I usually phone prior to going out (esp to a steakhouse) to let them know I am vegan and if they can accommodate. Given our timing..., I didn't (was also prepared to grab a falafel wrap if they couldn't). It was no sweat to the team when I told them and the chef delivered one of the best meals I have eaten at a restaurant. I am used to getting the least creative meal at places like this (meat & seafood heavy menus) and this was by far not that. I was beyond satisfied! There was not one complaint from our table as the entire group raved about how fantastic it was. Thank you! I can't wait to go again.",
"June 17, 2017","Had a late lunch on the sheltered patio. Service was great. They were accommodating with our small baby. Food was excellent we had the rib eye, ceaser salad and fries. Steak was flavorful and cooked properly(medium rare). Desert consisted of creme brulet and terimissu.",
