Hora,Post,Local
March 6 at 10:10am,"I would have put zero stars if that was an option but it wasn’t. I went to the fickle frog last night Monday March 5th after seeing a movie down the street. We sat ourselves and when we ordered our drink from the server we got carded (normal) and when I gave my Quebec Medicare card I was denied service. As it’s a legal ID I find this ridiculous, but as a past bartender/manager/bouncer of 4 years I didn’t cause a scene but I was furious that because my ID “didn’t have an address” I wasn’t allowed to drink.",
"December 28, 2017","After a long day of travelling, I finally made it to Halifax where I was going to meet up with a big group of friends. After sitting patiently, waiting for everyone to arrive, the service I was provided with was so laughably horrible, that I had to cancel on everyone. The ridiculously cold manner in which one particular server treated me was just enough to ruin my evening. I wouldn't go back if they paid me. For people who work in the service industry, in my experience, they could use a lot of help with learning how to serve people. Absolutely terrible.",
"September 22, 2017","The best thing about the bar was that the food was given too us for free because it was terrible, the potato skins were burnt and given with gravely? A chicken salad  sandwich was sent back because it was wrong, we asked for no olives on the nachos, so when we received them, they were loaded with olives, when we told the waitress she's had mentioned that she had already sent him back due to the olives being on it.  And there was one waitress (our waitress) who was running around waiting on all the tables, and looked like she had no help which was unfortunate for her, but she was working very hard and non stop so she got a tip.  But over all it was not very good and I wouldn't recommend it to anyone, bad experience",
March 6 at 7:36pm,"Wicked place, I was home from Alberta and craving a decent garlic fingers.  I wasn’t disappointed one bit.  Best garlic fingers I’ve had in 4 years.  Keep up the good work!",
"October 22, 2017","Love it, always is a great place to go to get a drink or some good old pub food!!",
"September 21, 2017",Great spot. Fast and friendly. They were playing trivia for prizes. They were able to deal with an unexpected large crowd that I'd gone in with from the Atlantic Film Festival.,
"June 12, 2017","I wandered in after a long Sunday morning walk while visiting town. (I was kinda lost) this was a nice quiet place to have Lunch with so cool local people hanging out. The service was quick and friendly. I broke down and got the ""big beer"" which is from Ontario instead of a local as I would normally. But, come on, you always take the big one on sale. I recommend but it did have a very small menu. That might have been because it was a Sunday morning but they accommodated me and found some wings to serve. It sounds like the nights are much more lively that my early visit.",
"December 19, 2017","Great staff, fun karaoke on Tues, good beer prices. Lots to love at this local!",
"August 30, 2016","I am a regular here and I suggested my work friends all do a fantasy football draft at this bar. Never again!  The ""new"" server cut one of the 10 of us off after having 4 pints of beer over a span of 4 hours. He was not slurring, he was not drunk, he was a bit annoyed because he had tried to get that pint about 30 minute prior and the server said ""hold on, I'm busy."" For a bar that was essentially empty, you should probably take care of your customers buying beer and have better judgement on who you can and cannot serve. After we were finished our draft 8 out of 10 people went next door, to the competition, and were treated very well. Your loss.",
"October 24, 2016",Trouble with many of these reviews is that they are close to trolling. There is usually a reason that is more the customer's fault for a negative review. I don't go here all that often but when I have the service and food has ALWAYS been excellent. Yesterday (Sunday) when the power was off on the other side of Spring Garden we (much to the delight of our two companions who simply just love this place) ended up here and had a most delightful time. It was busy but we were still waited on quickly and our meals were great. Plus Fickle Frog is much more economical on the menu front than some certain other Spring Garden establishments.,
"August 28, 2016","Yesterday was my first time here, the beer was cold and the food was ok it would of been better but it sat under the heat lamp for longer then it should have as it was not a busy time of the day. Our server was very friendly. I will give it another try...until next time !",
"August 8, 2017",Thanks Ryka (and the two cute guy bartenders) for being awesome and helping us break our bad service steak!,
"July 30, 2017","Absolutely love this place. Favorite bar to attend during my time off, oh and the spinach and artichoke dip... that stuff is amazing!",
"November 5, 2016",I ordered nachos and chicken wings and they came cold.   No taste what so ever. I was very disappointed not like I ordered gourmet food.  We had to ask for utensils and napkins... Service was just terrible.   And there was maybe 5 people in the place.,
"December 26, 2016","Dec.24th....hmmm...open for brunch at 10:00am  special for $10.00...not... went at 10 then 10;30 at neither time were they open.  Went to Coras and had an amazing breakfast, no need to remind me why not to go there when I visit the city,",
"August 30, 2017",The wings were not very good fruit flies wouldn't leave me alone,
"August 13, 2013",Sorry guys but you're slipping. 30 minutes for a waitress to show up - no offer of a menu - another 20 minutes for a slice of pizza and it was stale. Used to be fresh and served with oil and spices. Not any more. The guys next to me cancelled their food order after a very long wait for it and the place was not busy. You got a great spot and good people but quality is slipping. Sad to see.,
"March 2, 2015","My favorite place to watch the Match, the service is perfect, the place is extremely comfortable, and food is outstanding.  This place Rocks",
"March 23, 2015",Love this place....food is always great!  Service with a smile too!  Awesome daily specials.  I didn't do the buffet but it looked like a great deal so will try it next time for sure.  So many choices of food and drinks....FIVE STARS ALL ROUND from this Crazy Brit!  I will be back soon!,
"November 21, 2015",Nachos overcooked and pizza lacked flavor. Tile floor slippery from grease. Not impressed. Server was very pleasant. Food service was quick  ...just lacked quality.,
"December 26, 2016",A great price for a weekend brunch! Awesome food always friendly service:),
"December 20, 2013","Love this place. Service, food and drinks are great. Daily specials are the best in the city.",
"December 12, 2016","Cold beer, killer hamburgers and great service. Triple threat! �",
"November 9, 2016","One of my new fav places! Everything has been quick, hot and delish!",
"October 2, 2016",Just go to niche. Forget this place. Terrible atmosphere with terrible service.,
"December 17, 2016","The drinks are phenomenal, and their food specials are fantastic. A Halifax favourite.",
"October 23, 2015",We went to eat there today and while waiting for our food a mouse ran across the floor twice. And then as we were disgusted and left was told it's only a little mouse. Horrible and disgusting!,
"October 23, 2016",Great service the food was fantastic id recommend this place to everyone i know,
"January 3, 2015",This is my favourite place in town. This is my McLaren's.,
"February 2, 2013",Great service and great food! My 1st time here...will definitely be back!,
"December 3, 2013",Nice for hanging with friends snd the chowder is great.,
"March 11, 2014",Cat does a great job. Excelllent service.,
"November 18, 2012",You are a great chef Sergio.,
January 31,,
"November 11, 2017",,
"October 20, 2017",,
"September 10, 2017",,
"September 4, 2017",,
"July 30, 2017",,
"June 24, 2017",,
