Hora,Post,Local
"November 11, 2017","Went to the restaurant to celebrate a friends bday. Had a glass of wine and when it came the glass was filthy and asked for a new glass. Server was long to bring a new glass back. Had to ask twice for a glass of water. Ordered a dessert and never got it. The women's bathroom is in need of some repairs. Gouges and holes in the walls, chipped paint. Frames of the mirrors made of MDF and all water damaged and peeling. Management really should pay attention to those little things as they do leave an sour impression. Service was very slow. Friend and guests seemed to enjoy their food but I won't be going back. Also, reservations were made to have a longer table with a water view and they assured we would have it then we got there and it was given to another group. Too bad because I enjoyed my experience last summer there.",
January 20,"Have never been here before so thought we would try it through the ""Dine Around' experience. i figured they must  have put on some favorites.  I started with the calamari-way too salty and heavily battered, could hardly taste the calamari.  My friend had seafood chowder was good.  I had steak sandwich med well came well done and VERy fatty Other was butter chicken which was also good. Mine was so bad I won't be back but my friend says he will so.....",
"October 12, 2017","We come to this spot quite often. I wish I remembered our servers name to give her the props she deserves. Dark hair and glasses. My husband and the two kids love the view from the patio. Love how we are remembered. Drinks and all. We will be back. And as a fellow server , our server was one of the best I've had. So thank you.",
"August 22, 2017","Anytime I travel I try to find a place that makes you feel welcome like home. I stopped at several places along the harbor front and Gahan's was the best. Very friendly and out going staff. Food is fantastic and reasonably priced. They have their own beer selection and they also have a decent selection of other beers. I was there several days back in July 12 - 15. Can't say enough about the staff Taylor, Matt, Nicole, Maddie, John, Brent, Joel, Taylor and Kyleigh. Sorry if I forgot anyone or got spelling wrong on any names. I will definitely stop back my next time in Halifax.",
March 5 at 4:16pm,Overall both the food and the service  were good  we had one small issue with an overcooked steak but that happens I will definitely return.,
"August 23, 2017","This is one of my favorite places to go, but on Tuesday evening the service was ridiculously slow. We waited a long time for our orders and for dessert. It was my mother's birthday and her first experience here and it wasn't a great one. I would usually give this place a 5 because it is usually amazing. But maybe it was just a bad nigt",
"August 22, 2017","The food was mostly good, the broccoli salad didn't taste good but other then that the food was good. Ate outside & one of the pigeons got startled when runners ran pass & flew up in the air & pooped, it landed on my daughter-in-law visiting from Alberta, she was not too happy! But those things happen when you choice to enjoy the outdoors! We would go back again.",
"July 31, 2017","Wait was a little long, but we were there during the Tall Ships Festival, so we expected it to be. Notification by text that your table was ready and they would hold it for 10 minutes, worked perfectly. Staff were all very friendly and willing to accommodate. Food was very good. Brown bag fish and chips was excellent. The fish looked like it was a little over done, but it was NOT. It was fresh and light. I had one of their in-house ales with mine ( Beach Chair Lager) and it was a very nice beer. My friend had the Sir John A Honey Wheat Ale. It was a nice, light, refreshing beer, as well. The atmosphere was friendly and inviting and we wouldn't hesitate to eat and drink here during another visit to the Halifax Harbour Waterfront.",
"November 19, 2017",Great atmosphere and good food. Very conscious of food allergies � and the best patio in Halifax! Always enjoy going here.,
"July 30, 2017","We had to wait an exceptionally long time, even though they were not crazy busy. To be fair, the hostess did warn us about an hour wait for food. We ordered fish and chips and when it came, an hour later, the fries were delicious but the fish was very burnt and yet somehow soggy like it had been sitting for awhile. Gross. If we went back, we would not be ordering the fish and chips.",
