Hora,Post,Local
January 4,"Christina is the best.. amazing cut every time. But don't make her too busy, I need to get my regular cut!",
"September 8, 2017","Highly recommend this place, I've had my hair cut by almost all of the staff and they are all very talented and a good bunch of ppl , Thanks scallywags",
February 20,Plan ahead and book your next haircut at this fine establishment. I've been to Christina a couple of times and she does a great job.,
March 6 at 4:32pm,"Very good shop, great work and they have FREE coffee! � I’ll come back definitely!",
March 17 at 12:53pm,Best barbershop in the city. Brad is the man. Highly recommended.,
January 24,Great atmosphere knowledgeable barbers you won’t be disappointed going here,
"March 31, 2015","Not usually the kind of guy to come and rate service but I just had to today, one of the best barbershop experiences I have had while in Halifax, if anyone who has not heard of these two fine gentlemen you are defiantly missing out, let's break it down -booking: easily obtained from the bio to the ""resurva"" application, quick and easy to navigate  -area: fantastic location in a residential part of the North end of Halifax with abundant parking on the back streets without payi...ng silly tolls -atmosphere: great hands on attitude from these two great guys, all the work was done by themselves showing their true passion for their vision, beautiful reclaimed wood for their worktop, great music and the conversation was perfect -barbers: I find that finding a barber is one of the harder things you can do in life and once you find one that fits your laughing, these guys come off warm and inviting (and no I'm. It trying to pick you up for a date) and they offer top caliber haircuts and actually pull them off with high precision, I asked for a razor fade to a 1 (high and tight with a straight razor) which I find to be one of the most difficult cuts to pull off, ended up being one of my favourite cuts I have had in a while. In summary, I'm glad to see that Halifax is broadening its outreach to the art of proper barbershops (the way that they are suppose to be) and now with scallywags opening in the north end its another option for people who take pride in buying local and looking great!  Keep up the good work guys glad to be able to make it in on day one!",
"October 27, 2015","Brad and Dylan are some of the best in the business. From my first cut, I've always been happy with the results. Both guys are also personable, which makes the experience far more enjoyable - no need for awkward small talk. Booking an appointment is about as easy as it gets, check out their website and you'll know what I mean. Cheers fellas!",
"May 6, 2017",My boys love this place. First time there today. We don't mind the hour drive to get haircuts when the customer service is fantastic!,
"June 9, 2015","Out of this world good. Brad did a kick ass job and I have been waiting a long time to have the chance to have my hair cut by him. Great time, great place, and great job !!!",
"July 15, 2016",Christina is the best hairdresser I have been to ever  she is polite knows her job and a credit to her profession. Anyone looking for a hair cut please go to here you won't be disappointed,
"April 4, 2015","Freshly opened, Scallywags Barbershop is first rate...  Brad is the man. The dude knows how to make you look sharp and feel like a welcome guest in his and Dylan's studio. Add to this a razor neck shave with a warm towel for good measure and a healthy dose of quick-wit.",
"December 13, 2015",Scallywags is easiest the best barbershop in Halifax. I've never had a bad experience and always leave looking and feeling great! Thanks Dylan and Brad for offering a great service. Highly recommended,
"December 22, 2015","This place is second to none. It has great friendly barbers who know their stuff. The atmosphere, location, price, & parking is da best. What are you waiting for?",
"June 9, 2015","Great place for a haircut or beard trim, but a better place than most for listening to some records and shooting the shit with Brad and Dylan. Thanks fellas!",
"March 22, 2017",Great crew at ol' Scallywags! They take their time and are very down to earth.,
"February 13, 2016","Can't say anything negative about this place. Fresh cuts, great convos, an awesome vinyl collection and A1 people! Thanks fellas!",
"April 16, 2016",My first hot shave and the first time I went for a cut there. Christina was awesome. Great service and a nice vibe. Awesome!,
"March 31, 2015",Love the atmosphere and glad you boys opened your own spot! Big Ups to my man Brad and Gavin! You guys will kill it!,
"April 16, 2015","Absolutely fantastic experience at Scallywags Barbershop. Dyl and Brad are both super friendly, positive guys that are very skilled at what they do. I don't often get my hair cut by a barber, but I now refuse to get it done anywhere else.",
"December 9, 2015","Brad and Christina are the best, my beard always looks stellar! Love this shop",
"March 31, 2015",Thanks for the new cut to keep me fresh and for the beard trim to keep me  from looking like ISIS,
"August 19, 2015","These guys are awesome. First time I've left a review anywhere, but they deserve it. Dylan takes his time, does a great job and provides interesting conversation throughout. I'd definitely recommend.",
