Hora,Post,Local
"July 11, 2017","Just started volunteering and I love it. Non judgemental, and bottom line you are helping people. The first question isn't about your resume, they never asked, and I feel welcome to help and the people I do help make me feel welcome too. Thank you @Remi and everyone there!",
"November 5, 2017","By far the most thankful, humble  place to bring your gently used items. You know your gifts are given away to someone who needs them. The food they serve here is top notch and the volunteers genuinely care about each and everyone they serve. Highly recommend if you would like to get involved, Please check out Souls Harbour. Highly respect what they are doing.",
"August 15, 2017","Dropped  some items off there last week and l can't say enough about how friendly they were . Such warm , kind, caring and loving people. Both my husband and I were very touched by the whole visit.     Keep up the great work , and to anyone that's looking to give to a chaitey,  please conceder Souls Harbour. They are Angels...�",
"July 24, 2017",It's a great place to go my husband loves it and he took me there and the food there is wonderful and the mission people there are great people and friendly.,
"December 25, 2016",I have never been involved but my brother is and I hear wonderful things about it.    It is so important to reach out to those less fortunate than us - and Christmas is a time to show love and support.    I will put Souls Harbour on my list to drop by in 2017.,
"October 5, 2017",My first day volunteering at Souls Harbour Rescue went well.  The people there were very friendly and helpful.  <3,
"July 18, 2017","I believe this to be a great mission,   We are meant to safe as many of our brothers and sisters in Jesus name. Amen",
"March 27, 2016","Souls harbour is an amazing mission; very friendly and welcoming to people from all walks of life. I love to volunteer here! I get to meet so many kind people, volunteers and guests alike. They serve delicious meals, give out gifts to all their guests, and provide a safe place full of smiling faces for everyone in need. Thank you souls harbour!!",
"September 29, 2016","Never have needed these awesome people , but no one ever knows when you and if you will. Great work you guys do for my old community and for the people who need you.",
"December 12, 2016","I think its a great place I have helped souls harbour out of Halifax for some time now it is here in bridgewater and I will continue doing so keep up all the good work that is done there it was much needed in our town . Merry Christmas to All ,",
"December 26, 2016",Anyone who takes time to reach out to the community deserves nothing less then 5 stars!! Keep up the amazing work! Your mission to help and heal your community is a blessing! Thank you!,
