Hora,Post,Local
"May 3, 2017",,
January 3,"Food is very expensive. Went for brunch. The least expensive bacon and egg dish is $8.50. If the food was outstanding, or organic perhaps, but it was not. Also the music was so loud, pounding in my ears as if we were at a dance bar late at night instead of at noon. Ridiculous. Would not go again.  There are so many other places in Halifax whose prices are reasonable and you can carry on a conversation and enjoy a relaxing meal.",
"October 1, 2017",I had lunch today with my daughter and a friend and his toddler son.  Our server was Rachael. She was very attentive to the needs of our table (a young child and myself with many anaphylactic allergies).  She took the time to checknover menu option to ensure the safest meal for me and also communicated with the chef as well.  Definitely will be back!,
"September 23, 2017","The food was delicious. The waitress was salty. Celebrating my engagement with some friends and the waitress slides my tip back to me. I tell her to keep the change and she flips on her rude attitude she was holding off on until tip time to tell me to keep it. Thanks for embarrassing me in front of my friends and spoiling my night. Kudos to the chef, the veggie burger was incredible, but the waitress could use some training.",
"November 19, 2017",I ordered a sangaria and after few sips I noticed a bug in it.. looked like a cinch worm and the girl I was with had a dirty glass that her water came in.. still had to pay for my drink in the end ...the food was good service was ok...,
"November 25, 2017","I’ve always been told by friends , next time in Halifax to try My fathers moustache. So this time I did. One of the best meals I’ve had in a long time, reasonably price, great atmosphere and great service. Definitely gonna try again and suggest this one to everyone.",
"October 1, 2017","Had the pub club,, always a sure fire hit...my good friend had an alergy to shell fish; our waitress Rachael was very accommodating and patient...took the time to confer with the kitchen and had a great meal....way to go!! will be back",
January 4,Best wings I’ve ever had and best bbq sauce to go with them. Ribs and nachos are also amazing. Literally have never had a disappointing meal here.,
February 18,"First time here and really enjoyed it! Good was great, our waitress was awesome and they even had live music while we ate! Great atmosphere for a date night � we will definitely be back!",
"July 23, 2017","So me and the little one (4 years old) popped in for a quick bite and a drink waiting for the Pride Parade to kick off yesterday and I have to say everything was awesome. Our waitress was very friendly and engaged well with my daughter (still didn't get a word out of her though, so shy with people!) and checked in on us regularly after we'd placed our order. I ordered the combo (chicken strips, mozza sticks, potato skins and bacon), which was delicious, and the little one had... a small order of blueberry pancakes. They must have been good too because she ate half of them (which is an achievement for her). The high point of the visit was definitely just before we left though, the little one decided she needed to use the little girl's room, so I sent her on in and told her to just give me a shout when she was done. She was in there a while, but then I heard the hand drier going and she came back out with a female member of staff who had helped her wash her hands and dry them off. I was over the moon she got some help in there, above and beyond the call of duty right there, super impressed! I've always liked this place, but I have to say I like it even more now! Prices are very reasonable for a downtown eatery / drinkery too!",
"November 26, 2017",Had family here from New Brunswick so went to out to have good food and listen to great music at Your Fathers Moustache. Joe Murphy just happens to be a cousin always great to listen to the band,
January 19,"The server was much better than the last time we were there. Very good service.  Still pretty pricy, even for a wing night....",
January 27,"Amazing! Friendly and knowledgeable staff, awesome music, a good crowd of people, and delicious food.",
"November 1, 2017",Awesome service and great draft/food! Thanks to the ladies for helping us have such great time!,
"July 29, 2017",Waitresses are busy talking in the corner had to go get our own drinks and bartender who was involved in waitress conversation made us feel like we were an inconvenience. Sorry wish it had 0 stars should be an option. Especially when you see complaining it is a slow Saturday because of the tall ships,
March 6 at 11:34am,Pub Club is the best sandwich ever! I don't go to Halifax without getting one!,
